sample_id,ph,nitrogen_ppm,phosphorus_ppm,potassium_ppm,organic_matter_percent,ec,drainage_class,texture_class,area_dekar,slope_percent,irrigation_type,water_source,elevation_meters,variety,previous_crop,first_hemp_season,avg_temp,seasonal_rainfall_mm,avg_humidity,avg_solar_radiation,rotation_n_credit,rec_nitrogen_kg_dekar,rec_phosphorus_kg_dekar,rec_potassium_kg_dekar,rec_irrigation_mm_week,expected_yield_ton_dekar,suitable
0,6.92,16.6,18.2,109.1,5.05,2.74,poor,silty clay loam,264.7,1.1,sprinkler,river,565.8,narli,fallow,1,25.5,422.5,46.0,18.2,1.0,0.0,0.0,0.0,7.293,0.361,1
1,7.87,36.9,11.4,81.3,5.66,2.45,poor,clay loam,331.0,21.4,none,well,616.2,other,fallow,0,17.8,246.1,38.5,19.3,1.0,0.0,0.573,0.0,0.0,0.122,0
2,6.14,44.5,38.9,95.8,2.95,2.71,poor,silty clay loam,388.3,12.0,sprinkler,river,519.2,vezir,other,0,13.9,312.1,73.4,10.8,0.0,0.0,0.0,0.0,14.139,0.318,0
3,7.15,28.8,26.5,254.6,4.54,0.66,moderate,loam,452.1,12.1,none,rain,411.0,narli,fallow,0,28.4,580.6,42.6,12.2,1.0,0.0,0.0,0.0,0.0,0.429,1
4,6.4,31.3,28.5,267.3,4.74,0.55,good,silt loam,84.7,9.8,none,well,1050.1,other,sunflower,0,28.6,403.8,40.3,18.8,0.5,0.0,0.0,0.0,0.0,0.578,1
5,7.77,74.7,30.2,167.5,1.62,1.52,good,loam,53.6,19.4,drip,well,810.5,narli,fallow,0,11.5,387.6,62.5,13.7,1.0,0.0,0.0,0.0,9.112,0.285,0
6,7.19,28.1,19.5,278.9,4.57,1.81,excellent,sandy loam,163.8,1.9,drip,river,655.5,narli,legume,0,9.6,183.7,36.6,14.6,3.0,0.0,0.0,0.0,17.543,0.438,1
7,6.73,30.8,25.5,149.6,1.52,2.67,good,clay loam,258.4,19.1,drip,well,85.5,other,sunflower,0,11.0,245.8,61.8,12.0,0.5,0.0,0.0,0.0,15.17,0.272,0
8,7.42,70.6,11.6,203.5,3.97,0.16,poor,loam,116.5,10.9,sprinkler,rain,994.6,narli,hemp,1,18.5,613.3,74.3,14.0,-1.0,0.0,0.418,0.0,0.0,0.268,0
9,5.65,18.8,35.2,73.4,2.72,0.3,excellent,silty clay loam,553.2,11.9,drip,well,939.4,narli,fallow,1,31.3,351.9,82.1,18.0,1.0,0.0,0.0,0.0,11.654,0.378,1
10,6.7,35.6,17.6,207.3,2.73,1.14,moderate,silt loam,285.2,20.5,drip,well,514.9,other,legume,1,13.8,282.6,81.7,22.3,3.0,0.0,0.0,0.0,15.321,0.262,0
11,7.96,57.5,8.3,239.8,2.65,2.69,moderate,silt loam,86.9,2.8,sprinkler,municipal,324.3,narli,other,1,26.6,576.5,60.3,13.5,0.0,0.0,1.801,0.0,0.989,0.323,1
12,5.13,36.7,12.8,275.6,1.89,1.82,excellent,silty clay loam,25.6,2.1,sprinkler,well,921.4,other,fallow,1,11.4,304.1,79.9,21.1,1.0,0.0,0.007,0.0,15.27,0.413,1
13,7.65,41.4,31.0,94.0,6.11,3.47,moderate,clay loam,34.4,16.3,flood,rain,886.4,other,cereal,1,29.3,204.0,78.6,22.0,0.0,0.0,0.0,0.0,24.767,0.222,0
14,7.39,29.8,8.9,102.5,2.81,3.47,good,silt loam,392.1,9.1,flood,well,144.6,vezir,cereal,0,34.6,169.1,64.8,14.8,0.0,0.0,1.401,0.0,29.236,0.229,0
15,5.13,43.3,27.2,237.4,4.78,3.77,moderate,silt loam,270.2,20.9,flood,municipal,736.5,narli,other,0,21.7,483.4,51.3,19.8,0.0,0.0,0.0,0.0,7.555,0.205,0
16,7.24,26.3,29.1,149.3,5.59,1.29,moderate,clay loam,475.7,13.5,flood,rain,497.1,other,cereal,0,29.4,629.9,71.8,19.2,0.0,0.0,0.0,0.0,0.0,0.313,0
17,5.93,67.4,13.5,70.2,6.41,2.48,poor,clay loam,260.4,14.0,sprinkler,rain,553.9,narli,cereal,0,8.1,525.5,73.5,11.5,0.0,0.0,0.0,0.0,3.999,0.157,0
18,5.15,31.2,39.4,160.4,5.41,2.7,good,clay loam,375.3,16.0,none,rain,989.0,other,hemp,0,28.3,569.9,48.9,20.9,-1.0,0.0,0.0,0.0,0.0,0.267,0
19,7.68,20.2,13.6,144.3,1.84,0.93,excellent,clay loam,211.9,10.5,drip,river,919.5,vezir,fallow,0,8.5,590.3,63.8,16.7,1.0,0.0,0.0,0.0,0.339,0.346,0
20,7.51,50.0,35.2,236.0,5.94,2.0,good,clay loam,301.7,8.9,none,river,927.7,narli,fallow,0,32.5,445.9,68.1,11.2,1.0,0.0,0.0,0.0,0.0,0.293,1
21,6.01,72.2,18.3,269.3,3.32,3.36,excellent,sandy loam,454.4,1.6,flood,river,722.2,other,legume,0,33.6,249.7,36.0,12.1,3.0,0.0,0.0,0.0,22.343,0.296,1
22,7.1,64.8,14.2,193.6,5.11,0.55,moderate,silt loam,82.7,1.1,flood,rain,448.4,other,cereal,1,26.6,463.6,40.1,20.8,0.0,0.0,0.0,0.0,11.142,0.49,1
23,6.29,39.1,26.7,135.1,5.67,3.31,poor,clay loam,577.3,14.2,none,river,490.3,other,fallow,0,15.3,554.1,61.9,16.8,1.0,0.0,0.0,0.0,0.0,0.315,0
24,7.49,20.6,40.6,113.6,3.56,2.48,excellent,silt loam,36.6,18.8,sprinkler,rain,249.1,vezir,sunflower,1,24.1,590.1,62.8,17.2,0.5,0.0,0.0,0.0,0.51,0.352,1
25,7.14,44.1,8.6,124.7,3.22,1.05,good,clay loam,341.0,7.9,flood,municipal,779.1,vezir,sunflower,1,11.3,246.3,41.0,17.5,0.5,0.0,1.652,0.0,24.698,0.55,1
26,7.17,78.5,27.4,122.3,1.55,0.86,moderate,silt loam,124.1,0.8,sprinkler,municipal,69.2,narli,fallow,1,33.5,468.9,72.6,11.4,1.0,0.0,0.0,0.0,6.38,0.271,0
27,7.59,22.4,10.4,168.2,4.17,2.78,moderate,loam,490.5,20.9,drip,river,147.9,vezir,fallow,0,24.7,537.8,54.0,22.7,1.0,0.0,0.914,0.0,2.289,0.274,0
